Fabric Name,Fabric #,Style #'s
Maroon rayon,3037,"16053, 15004"
Red tropical print ggt,2088,"16052, 16009, 19346, 19722"
Burgundy plain crepe,3075,"16049, 19131"
Harnaz,6065,16048
Pink paisely print crepe,1066,"16047, 19716"
Turquoise polka ggt,7009,"16046, 16000"
Solid Coffee brown crepe,3019,"16042, 11152"
Mint green floral ggt,2083,"16040, 16014"
Mustard leopard print ggt,2017,"16039, 16030, 14066, 19224"
White pink polka ggt,2066,"16032, 15094, 19063"
Beige floral satine,1060,"16029, 18097, 18098"
Yellow - white polka ggt,2077,"16028, 16003"
Black and white houndstooth,6037,"16026, 16007"
Turquoise abstract print ggt,2078,"16024, 15065, 15064"
Solid black Crepe,3000,"16023, 15062, 15005, 14048, 13028, 13024, 13022, 12093, 12063, 12062, 12040, 12027, 12012, 11197, 11178, 11176, 11168, 11121, 11042, 10811, 10801, 10793, 19064, 19084, 19087, 19088, 19130, 19224, 19227, 19228, 19255, 19340, 19379, 19411, 19489, 19690, 19702, 19711, 19721, 19731, 19734, 19736, 19738, 19739, 19763, 14026, 12046, 12043, 11103, 19050, 19053, 19039, 19071, 19082, 19073, 19118, 19124, 19157, 19058"
Blush Pink vichitra,6050,16022
Lavender swiss dot ggt,2059,"16020, 15040"
Multicolor print color-blocked  Georgette,2004,"16019, 14058"
Peach harnaz,7001,16018
White floral ggt,2049,"16016, 13077"
Pink swiss dott ggt,2060,"16015, 15054"
Multi paint print ggt,2023,"16013, 14078, 19179"
Red jersey,5031,"16012, 16011, 12044, 16011"
Black jersey,5029,"16010, 13050, 12017, 12000, 11097, 11090, 10840, 13049, 12000, 10840"
 Lavender blush lio silk,6053,16005
Caremel (peach)French Crepe ,3045,"16004, 19086, 19100, 19111"
Mint green paisely ggt,1056,16002
Black & white  thin stripe crepe,1064,"16001, 19298, 19715"
Turquoise roman silk,6038,15099
Turquoise harnaz,6046,"15098, 15097, 19092, 19093, 19177, 19312"
,1062,15096
Nion geometric print ggt,7002,"15095, 18092, 19714"
Wine stripe crepe new,1052,"15093, 15051, 19694"
Olive digital print ggt,2086,15092
Black Floral net ,4020,"15091, 15062, 19221, 19702, 19110"
Multi tropical print crepe,1061,15090
Black floral  crinkle rayon ,1054,15089
Neon geometric print ggt,2084,15088
Pink paisely ggt,1055,15087
Black - Golden swiss dott ggt,2051,"15084, 15041"
Wine floral net,4027,"15083, 16049"
ivory floral net,4035,"15081, 18099"
Green floral net,4026,"15080, 16031, 19705"
Black & lavender floral ggt,7011,"15079, 19306"
Navy polka ggt,7008,15078
Turquoise Green Rayon ,3051,"15077, 19029"
Pista Green Rayon,3050,"15076, 19353"
Solid Pink Rayon ,3049,"15075, 19478, 19480, 19691, 19326"
Green tropical print crepe,1036,"15074, 14025"
Multi big polka ggt,7004,"15073, 18094, 19750"
Olive floral ggt,2087,"15072, 15071"
Navy & red stripe ggt,2085,"15070, 15069"
Black small polka new,1059,"15063, 19320"
Multi printed ggt,2081,"15061, 15060"
Red small polka ggt,2082,15059
neon green tropical print ggt,2080,15058
White small big polka ggt,2065,15057
Sky-blue floral ggt,2063,"15053, 19309"
Pink-white stripe crepe,1030,"15052, 14023, 19316, 17021"
Red small polka crepe,1053,15049
Pista Green Moss crepe,4009,"15048, 12060"
Royal blue moss crepe,4022,"15047, 19732, 19178, 19049"
Green moss crepe,4017,"15046, 19049"
Magenta floral ggt,2061,"15045, 19018"
Navy heather moss crepe,4015,15044
Hot pink Moss crepe ,4016,15042
Maroon swiss dot ggt,2058,15039
Pink abstract water ggt,2057,"15038, 19368, 19394"
Pink abstract print ggt,2056,15037
 White & Niyon floral ggt,2055,15036
Beige floral ggt,2054,15035
Pink floral ggt,2053,15034
Navy blue Noritake silk,6016,"15032, 15023"
Red Noritake silk,6010,"15031, 15001, 15000, 14099"
Olive Plain Georgette ,2042,"15030, 12079, 19757"
Turquoise Blue Plain Georgette ,2044,"15029, 11144, 19104, 19105, 19307"
